id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PKET299,PKET,2020.8169408394049,299,-922365.16290,6250473.39050,869690.38220,47,433244.1229,872144.4458,7.889627363248,98.394398014276,0.1853,24.7841
PKET300,PKET,2020.8196730798422,300,-922365.16180,6250473.40860,869690.38580,47,433244.1192,872144.4470,7.889627373466,98.394397980445,0.2034,24.8022
PKET301,PKET,2020.8224043715848,301,-922365.17270,6250473.39900,869690.38110,47,433244.1313,872144.4434,7.889627341184,98.394398090941,0.1949,24.7937
PKET302,PKET,2020.8251366120219,302,-922365.18440,6250473.40720,869690.38410,47,433244.1417,872144.4450,7.889627355864,98.394398185049,0.2051,24.8039
PKET303,PKET,2020.8278698011536,303,-922365.16860,6250473.39500,869690.38320,47,433244.1279,872144.4461,7.889627365646,98.394398059455,0.1907,24.7895
PKET304,PKET,2020.8306020415907,304,-922365.18320,6250473.40220,869690.37970,47,433244.1413,872144.4413,7.889627322813,98.394398180903,0.1994,24.7982
PKET305,PKET,2020.8333342820279,305,-922365.16350,6250473.40490,869690.38090,47,433244.1214,872144.4426,7.889627333815,98.394398000595,0.1993,24.7982
PKET306,PKET,2020.8360655737704,306,-922365.17060,6250473.40340,869690.38240,47,433244.1286,872144.4441,7.889627347805,98.394398066277,0.1991,24.7979
PKET307,PKET,2020.8387987629023,307,-922365.16010,6250473.39540,869690.38410,47,433244.1194,872144.4471,7.889627374756,98.394397982669,0.1900,24.7888
PKET308,PKET,2020.8415310033395,308,-922365.11980,6250473.42010,869690.38270,47,433244.0759,872144.4433,7.889627339191,98.394397588428,0.2082,24.8070
PKET309,PKET,2020.8442632437766,309,-922365.15950,6250473.41700,869690.38020,47,433244.1157,872144.4403,7.889627313413,98.394397948691,0.2105,24.8094
PKET310,PKET,2020.8469945355191,310,-922365.16450,6250473.41740,869690.38360,47,433244.1205,872144.4436,7.889627342468,98.394397993018,0.2121,24.8109
PKET311,PKET,2020.8497277246508,311,-922365.14940,6250473.39870,869690.37990,47,433244.1083,872144.4427,7.889627335026,98.394397882308,0.1911,24.7899
PKET312,PKET,2020.852459965088,312,-922365.15620,6250473.39710,869690.37790,47,433244.1153,872144.4408,7.889627317846,98.394397945431,0.1902,24.7891
PKET313,PKET,2020.855192205525,313,-922365.13930,6250473.40510,869690.38120,47,433244.0974,872144.4434,7.889627340641,98.394397783225,0.1961,24.7949
PKET314,PKET,2020.8579234972678,314,-922365.18280,6250473.40510,869690.38770,47,433244.1404,872144.4489,7.889627390976,98.394398173476,0.2033,24.8021
PKET315,PKET,2020.8606566863996,315,-922365.16560,6250473.41520,869690.38430,47,433244.1220,872144.4445,7.889627351239,98.394398005799,0.2102,24.8090
PKET316,PKET,2020.8633889268367,316,-922365.18160,6250473.40100,869690.38050,47,433244.1398,872144.4423,7.889627331741,98.394398168138,0.1981,24.7969
PKET317,PKET,2020.8661211672738,317,-922365.16460,6250473.41260,869690.38520,47,433244.1213,872144.4458,7.889627362674,98.394398000269,0.2076,24.8065
PKET319,PKET,2020.871585648148,319,-922365.18640,6250473.41580,869690.38450,47,433244.1424,872144.4442,7.889627348525,98.394398191607,0.2138,24.8127
PKET320,PKET,2020.8743169398906,320,-922365.16700,6250473.40400,869690.38160,47,433244.1250,872144.4433,7.889627340555,98.394398033186,0.1991,24.7979
PKET321,PKET,2020.8770501290226,321,-922365.18010,6250473.41390,869690.38290,47,433244.1365,872144.4430,7.889627337669,98.394398137603,0.2108,24.8097
PKET322,PKET,2020.8797823694597,322,-922365.17010,6250473.39610,869690.37830,47,433244.1292,872144.4411,7.889627320138,98.394398071455,0.1913,24.7901
PKET323,PKET,2020.8825146098968,323,-922365.17520,6250473.40410,869690.38330,47,433244.1331,872144.4448,7.889627354173,98.394398106618,0.2006,24.7994
PKET324,PKET,2020.885246850334,324,-922365.16790,6250473.38850,869690.38130,47,433244.1281,872144.4451,7.889627356737,98.394398061780,0.1840,24.7828
PKET325,PKET,2020.887979090771,325,-922365.16660,6250473.41960,869690.38450,47,433244.1223,872144.4441,7.889627347447,98.394398008945,0.2147,24.8135
PKET326,PKET,2020.8907103825136,326,-922365.18080,6250473.40130,869690.38450,47,433244.1390,872144.4463,7.889627367344,98.394398160564,0.1988,24.7976
PKET327,PKET,2020.8934435716453,327,-922365.17400,6250473.41240,869690.38210,47,433244.1307,872144.4425,7.889627333451,98.394398084864,0.2084,24.8072
PKET328,PKET,2020.8961758120827,328,-922365.15610,6250473.38250,869690.37800,47,433244.1173,872144.4429,7.889627336686,98.394397963862,0.1759,24.7747
PKET329,PKET,2020.8989080525198,329,-922365.17590,6250473.40240,869690.38310,47,433244.1340,872144.4448,7.889627354342,98.394398115148,0.1990,24.7978
PKET330,PKET,2020.901640292957,330,-922365.17580,6250473.39120,869690.37800,47,433244.1355,872144.4413,7.889627322434,98.394398129078,0.1873,24.7861
